,movie_id,genre
81,81,Dinosaur Adventure
81,81,Disaster
81,81,Globetrotting Adventure
81,81,Kaiju
81,81,Supernatural Fantasy
81,81,Action
81,81,Adventure
81,81,Fantasy
81,81,Sci-Fi
82,82,Jungle Adventure
82,82,Kaiju
82,82,Supernatural Fantasy
82,82,Survival
82,82,Action
82,82,Adventure
82,82,Fantasy
82,82,Sci-Fi
83,83,Animal Adventure
83,83,Hand-Drawn Animation
83,83,Quest
83,83,Slapstick
83,83,Adventure
83,83,Animation
83,83,Comedy
83,83,Family
84,84,Buddy Comedy
84,84,Adventure
84,84,Comedy
84,84,Family
84,84,Mystery
84,84,Sci-Fi
85,85,Buddy Cop
85,85,Martial Arts
85,85,Action
85,85,Comedy
85,85,Crime
85,85,Thriller
86,86,Buddy Cop
86,86,Cop Drama
86,86,Action
86,86,Comedy
86,86,Crime
86,86,Thriller
87,87,Cyberpunk
87,87,Dystopian Sci-Fi
87,87,Quest
87,87,Teen Adventure
87,87,Action
87,87,Adventure
87,87,Sci-Fi
89,89,Globetrotting Adventure
89,89,Jungle Adventure
89,89,Action
89,89,Adventure
89,89,Fantasy
89,89,Thriller
92,92,Action Epic
92,92,Alien Invasion
92,92,Sci-Fi Epic
92,92,Action
92,92,Adventure
92,92,Sci-Fi
93,93,Romantic Comedy
93,93,Slapstick
93,93,Comedy
93,93,Romance
94,94,Buddy Comedy
94,94,Computer Animation
94,94,Fairy Tale
94,94,Feel-Good Romance
94,94,Parody
94,94,Quest
94,94,Satire
94,94,Slapstick
94,94,Swashbuckler
94,94,Adventure
95,95,Action Epic
95,95,Adventure Epic
95,95,Alien Invasion
95,95,Disaster
95,95,Sci-Fi Epic
95,95,Urban Adventure
95,95,Action
95,95,Adventure
95,95,Sci-Fi
96,96,Survival
96,96,Adventure
96,96,Drama
96,96,Romance
97,97,Epic
97,97,Period Drama
97,97,War Epic
97,97,Drama
97,97,War
98,98,Action Epic
98,98,Adventure Epic
98,98,Epic
98,98,Period Drama
98,98,Sword & Sandal
98,98,Action
98,98,Adventure
98,98,Drama
99,99,Docudrama
99,99,Period Drama
99,99,Political Drama
99,99,Biography
99,99,Drama
99,99,History
99,99,War
100,100,Artificial Intelligence
100,100,Superhero
100,100,Urban Adventure
100,100,Action
100,100,Adventure
100,100,Sci-Fi
101,101,Anime
101,101,Fantasy Epic
101,101,Hand-Drawn Animation
101,101,Isekai
101,101,Adventure
101,101,Animation
101,101,Drama
101,101,Fantasy
102,102,Adventure
102,102,Animation
102,102,Comedy
102,102,Family
103,103,Anime
103,103,Iyashikei
103,103,Adventure
103,103,Animation
103,103,Drama
103,103,Family
103,103,Fantasy
104,104,Anime
104,104,Iyashikei
104,104,Quest
104,104,Sea Adventure
104,104,Adventure
104,104,Animation
104,104,Comedy
104,104,Family
104,104,Fantasy
105,105,Anime
105,105,Coming-of-Age
105,105,Fairy Tale
105,105,Hand-Drawn Animation
105,105,Quest
105,105,Supernatural Fantasy
105,105,Adventure
105,105,Animation
105,105,Family
105,105,Fantasy
106,106,Adventure Epic
106,106,Anime
106,106,Hand-Drawn Animation
106,106,Supernatural Fantasy
106,106,Adventure
106,106,Animation
106,106,Family
106,106,Fantasy
107,107,Satire
107,107,Adventure
107,107,Animation
107,107,Comedy
107,107,Drama
107,107,Music
107,107,Sport
108,108,Adult Animation
108,108,Anime
108,108,Hand-Drawn Animation
108,108,Period Drama
108,108,Slice of Life
108,108,Tragedy
108,108,Tragic Romance
108,108,Workplace Drama
108,108,Animation
108,108,Biography
109,109,Action Epic
109,109,Adult Animation
109,109,Adventure Epic
109,109,Anime
109,109,Dark Fantasy
109,109,Fantasy Epic
109,109,Hand-Drawn Animation
109,109,Quest
109,109,Adventure
109,109,Animation
112,112,Computer Animation
112,112,Fairy Tale
112,112,Parody
112,112,Slapstick
112,112,Adventure
112,112,Animation
112,112,Comedy
112,112,Family
112,112,Fantasy
112,112,Romance
114,114,Sci-Fi Epic
114,114,Superhero
114,114,Action
114,114,Adventure
114,114,Sci-Fi
115,115,Sci-Fi Epic
115,115,Superhero
115,115,Action
115,115,Sci-Fi
118,118,Computer Animation
118,118,Sword & Sorcery
118,118,Teen Fantasy
118,118,Action
118,118,Adventure
118,118,Animation
118,118,Family
118,118,Fantasy
119,119,Animal Adventure
119,119,Computer Animation
119,119,Urban Adventure
119,119,Adventure
119,119,Animation
119,119,Comedy
119,119,Family
120,120,Coming-of-Age
120,120,Computer Animation
120,120,Quest
120,120,Teen Comedy
120,120,Teen Drama
120,120,Adventure
120,120,Animation
120,120,Comedy
120,120,Drama
120,120,Family
121,121,Computer Animation
121,121,Superhero
121,121,Urban Adventure
121,121,Action
121,121,Adventure
121,121,Animation
121,121,Comedy
121,121,Family
121,121,Fantasy
121,121,Sci-Fi
122,122,Adventure Epic
122,122,Animal Adventure
122,122,Coming-of-Age
122,122,Computer Animation
122,122,Adventure
122,122,Animation
122,122,Drama
122,122,Family
122,122,Fantasy
122,122,Musical
124,124,Animal Adventure
124,124,Computer Animation
124,124,Sea Adventure
124,124,Adventure
124,124,Animation
124,124,Comedy
124,124,Family
124,124,Fantasy
125,125,Computer Animation
125,125,Fairy Tale
125,125,Quest
125,125,Adventure
125,125,Animation
125,125,Comedy
125,125,Drama
125,125,Family
125,125,Fantasy
125,125,Musical
126,126,Computer Animation
126,126,Sea Adventure
126,126,Adventure
126,126,Animation
126,126,Comedy
126,126,Family
126,126,Fantasy
126,126,Musical
129,129,Adventure Epic
129,129,Sea Adventure
129,129,Swashbuckler
129,129,Action
129,129,Adventure
129,129,Fantasy
130,130,Alien Invasion
130,130,Drama
130,130,Mystery
130,130,Sci-Fi
130,130,Thriller
131,131,Disaster
131,131,Space Sci-Fi
131,131,Action
131,131,Adventure
131,131,Sci-Fi
131,131,Thriller
132,132,Epic
132,132,Period Drama
132,132,Romantic Epic
132,132,Tragedy
132,132,War Epic
132,132,Action
132,132,Drama
132,132,Romance
132,132,War
134,134,Feel-Good Romance
134,134,Comedy
134,134,Romance
135,135,One-Person Army Action
135,135,Political Thriller
135,135,Action
135,135,Crime
135,135,Drama
135,135,Thriller
136,136,Period Drama
136,136,Drama
137,137,Road Trip
137,137,Slapstick
137,137,Action
137,137,Adventure
137,137,Comedy
138,138,Comedy
138,138,Drama
138,138,Family
139,139,Feel-Good Romance
139,139,Romantic Comedy
139,139,Comedy
139,139,Drama
139,139,Romance
140,140,Romantic Comedy
140,140,Satire
140,140,Slapstick
140,140,Comedy
140,140,Drama
140,140,Romance
141,141,Dark Comedy
141,141,Serial Killer
141,141,Comedy
141,141,Crime
141,141,Drama
142,142,Feel-Good Romance
142,142,Romantic Comedy
142,142,Satire
142,142,Slapstick
142,142,Comedy
142,142,Drama
142,142,Romance
143,143,Parody
143,143,Satire
143,143,Slapstick
143,143,Comedy
143,143,Drama
143,143,War
144,144,Slapstick
144,144,Comedy
144,144,Family
144,144,Romance
145,145,Buddy Comedy
145,145,Slapstick
145,145,Comedy
145,145,Drama
145,145,Family
146,146,Farce
146,146,Feel-Good Romance
146,146,Romantic Comedy
146,146,Slapstick
146,146,Adventure
146,146,Comedy
146,146,Drama
146,146,Romance
146,146,Western
147,147,Drama
147,147,Music
147,147,Romance
148,148,Drama
148,148,Romance
149,149,Slapstick
149,149,Comedy
149,149,Short
151,151,B-Horror
151,151,Folk Horror
151,151,Found Footage Horror
151,151,Psychological Horror
151,151,Supernatural Horror
151,151,Tragedy
151,151,Witch Horror
151,151,Horror
151,151,Mystery
152,152,Action Epic
152,152,Period Drama
152,152,Samurai
152,152,Sword & Sandal
152,152,Tragedy
152,152,Action
152,152,Drama
153,153,Action
153,153,Adventure
153,153,Thriller
154,154,Docudrama
154,154,Epic
154,154,Period Drama
154,154,Biography
154,154,Drama
155,155,Boxing
155,155,Tragedy
155,155,Drama
155,155,Sport
156,156,Action Epic
156,156,Adventure Epic
156,156,Contemporary Western
156,156,Desert Adventure
156,156,One-Person Army Action
156,156,Quest
156,156,Road Trip
156,156,Action
156,156,Adventure
156,156,Drama
157,157,Action
157,157,Adventure
157,157,Thriller
158,158,Psychological Thriller
158,158,Crime
158,158,Drama
158,158,Thriller
159,159,Tragedy
159,159,Action
159,159,Crime
159,159,Drama
159,159,Thriller
160,160,Psychological Thriller
160,160,Suspense Mystery
160,160,Drama
160,160,Mystery
160,160,Thriller
161,161,Dark Comedy
161,161,Psychological Horror
161,161,Psychological Thriller
161,161,Slasher Horror
161,161,Suspense Mystery
161,161,Horror
161,161,Mystery
161,161,Thriller
162,162,Psychological Thriller
162,162,Tragedy
162,162,Mystery
162,162,Romance
162,162,Thriller
163,163,Suspense Mystery
163,163,Crime
163,163,Drama
163,163,Mystery
163,163,Thriller
164,164,Survival
164,164,Drama
164,164,Horror
164,164,Mystery
164,164,Romance
165,165,Psychological Drama
165,165,Psychological Thriller
165,165,Crime
165,165,Drama
165,165,Mystery
165,165,Romance
